Account,AccountDesc,TransDesc,Debit,Credit,Period,JnlNo,JnlDesc,Amount,JnlPrep,JnlAuth,JnlDateTime
00-70-7023,Forex - Realised Diff,1208,12110.24,0.00,2019-7,258,,12110.24,JC39,CH20,10/07/2019 19:41
00-80-8035,Forex Holding Account,1204,0.00,26316.48,2019-7,258,,-26316.48,JC39,CH20,10/07/2019 19:41
00-70-7022,Forex - Realised Diff,1204,26316.48,0.00,2019-7,258,,26316.48,JC39,CH20,10/07/2019 19:41
00-20-2004,Provision for Obselete Inventory,923,13385.02,0.00,2019-7,259,Reverses Jnl 2019-2 Journal No. 204,13385.02,DF18,CH20,28/07/2019 12:11
00-80-8028,Provisions - Stock Write-downs,XZX,0.00,13385.02,2019-7,259,Reverses Jnl 2019-2 Journal No. 204,-13385.02,DF18,CH20,28/07/2019 12:11
00-20-2011,Inventory Adjustment,516,0.00,8973.25,2019-7,260,,-8973.25,AC04,AM04,29/07/2019 16:00
00-80-8027,Other Stock Costs,ZZZ,8973.25,0.00,2019-7,260,,8973.25,AC04,AM04,29/07/2019 16:00
00-80-8049,Accruals,XX123XX999,17198.09,0.00,2019-7,261,Reverses Jnl 2019-4 Journal No. 156,17198.09,DF18,AM04,29/07/2019 15:39
00-80-8029,Goods In Transit,ZZZ,0.00,17198.09,2019-7,261,Reverses Jnl 2019-4 Journal No. 156,-17198.09,DF18,AM04,29/07/2019 15:39
00-80-8049,Accruals,XX123XX999,99818.23,0.00,2019-7,261,Reverses Jnl 2019-4 Journal No. 156,99818.23,DF18,AM04,29/07/2019 15:39
00-80-8029,Goods In Transit,ZZZ,0.00,99818.23,2019-7,261,Reverses Jnl 2019-4 Journal No. 156,-99818.23,DF18,AM04,29/07/2019 15:39
00-80-8049,Accruals,XX123XX999,153314.98,0.00,2019-7,261,Reverses Jnl 2019-4 Journal No. 156,153314.98,DF18,AM04,29/07/2019 15:39
00-80-8029,Goods In Transit,ZZZ,0.00,153314.98,2019-7,261,Reverses Jnl 2019-4 Journal No. 156,-153314.98,DF18,AM04,29/07/2019 15:39
00-80-8034,Forex Pending,302,0.00,1.49,2019-7,262,,-1.49,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,302,1.49,0.00,2019-7,262,,1.49,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,1205,0.00,1.49,2019-7,262,,-1.49,DF18,AM04,29/07/2019 10:18
00-70-7023,Forex - Realised Diff,1221,0.00,1.49,2019-7,262,,-1.49,DF18,AM04,29/07/2019 10:18
00-80-8034,Forex Pending,1205,1.49,0.00,2019-7,262,,1.49,DF18,AM04,29/07/2019 10:18
00-80-8034,Forex Pending,1221,1.49,0.00,2019-7,262,,1.49,DF18,AM04,29/07/2019 10:18
00-80-8034,Forex Pending,853,0.00,4.96,2019-7,262,,-4.96,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,853,4.96,0.00,2019-7,262,,4.96,DF18,AM04,29/07/2019 10:18
00-80-8040,Forex Holding Account,123,40.64,0.00,2019-7,262,,40.64,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,123,0.00,40.64,2019-7,262,,-40.64,DF18,AM04,29/07/2019 10:18
00-80-8039,Forex Holding Account,447,0.00,258.11,2019-7,262,,-258.11,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,447,258.11,0.00,2019-7,262,,258.11,DF18,AM04,29/07/2019 10:18
00-80-8036,Forex Holding Account,1208,0.00,826.65,2019-7,262,,-826.65,DF18,AM04,29/07/2019 10:18
00-70-7023,Forex - Realised Diff,1208,826.65,0.00,2019-7,262,,826.65,DF18,AM04,29/07/2019 10:18
00-80-8037,Forex Holding Account,849,0.00,2537.43,2019-7,262,,-2537.43,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,849,2537.43,0.00,2019-7,262,,2537.43,DF18,AM04,29/07/2019 10:18
00-80-8038,Forex Holding Account,301,0.00,2992.72,2019-7,262,,-2992.72,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,301,2992.72,0.00,2019-7,262,,2992.72,DF18,AM04,29/07/2019 10:18
00-80-8035,Forex Holding Account,1204,0.00,7693.61,2019-7,262,,-7693.61,DF18,AM04,29/07/2019 10:18
00-70-7022,Forex - Realised Diff,1204,7693.61,0.00,2019-7,262,,7693.61,DF18,AM04,29/07/2019 10:18
00-80-8043,Tax Control,XXX,54565.07,0.00,2019-7,263,,54565.07,CH20,AS13,29/07/2019 17:50
00-80-8044,Tax Input,XZZX,0.00,54565.07,2019-7,263,,-54565.07,CH20,AS13,29/07/2019 17:50
00-80-8043,Tax Control,XXX,0.00,81228.18,2019-7,263,,-81228.18,CH20,AS13,29/07/2019 17:50
00-80-8045,Tax Output,ZZXXZ,81228.18,0.00,2019-7,263,,81228.18,CH20,AS13,29/07/2019 17:50
00-80-8045,Tax Output,ZZXXZ,343302.13,0.00,2019-7,263,,343302.13,CH20,AS13,29/07/2019 17:50
00-80-8043,Tax Control,XXX,0.00,343302.13,2019-7,263,,-343302.13,CH20,AS13,29/07/2019 17:50
00-80-8044,Tax Input,XZZX,0.00,887749.65,2019-7,263,,-887749.65,CH20,AS13,29/07/2019 17:50
00-80-8043,Tax Control,XXX,887749.65,0.00,2019-7,263,,887749.65,CH20,AS13,29/07/2019 17:50
00-80-8033,Provision for Sales Schemes,ZZX,41007.27,0.00,2019-7,264,Reverses Jnl 2019-2 Journal No. 229,41007.27,GL06,CH20,29/07/2019 17:50
00-10-1002,Provisions - Trade Sales,ZZX,0.00,41007.27,2019-7,264,Reverses Jnl 2019-2 Journal No. 229,-41007.27,GL06,CH20,29/07/2019 17:50
00-80-8033,Provision for Sales Schemes,ZZZ,402359.65,0.00,2019-7,264,Reverses Jnl 2019-2 Journal No. 229,402359.65,GL06,CH20,29/07/2019 17:50
00-10-1001,Trade Sale Recycle Scheme,ZZZ,0.00,402359.65,2019-7,264,Reverses Jnl 2019-2 Journal No. 229,-402359.65,GL06,CH20,29/07/2019 17:50
00-70-7026,Bank Fees,684,24.85,0.00,2019-7,265,,24.85,AC04,AS13,29/07/2019 10:21
00-80-8048,Expenses Control Account,684,0.00,24.85,2019-7,265,,-24.85,AC04,AS13,29/07/2019 10:21
00-80-8048,Expenses Control Account,122,176.55,0.00,2019-7,266,,176.55,AS13,TC01,29/07/2019 09:24
00-80-8047,Wages Control Account,XOXO,0.00,176.55,2019-7,266,,-176.55,AS13,TC01,29/07/2019 09:24
00-80-8048,Expenses Control Account,122,1595.32,0.00,2019-7,266,,1595.32,AS13,TC01,29/07/2019 09:24
00-80-8047,Wages Control Account,XOXO,0.00,1595.32,2019-7,266,,-1595.32,AS13,TC01,29/07/2019 09:24
00-20-2011,Inventory Adjustment,512,0.00,1093.92,2019-7,267,,-1093.92,ID03,AM04,29/07/2019 16:50
00-80-8027,Other Stock Costs,ZZZ,1093.92,0.00,2019-7,267,,1093.92,ID03,AM04,29/07/2019 16:50
00-20-2011,Inventory Adjustment,509,0.00,1296.49,2019-7,267,,-1296.49,ID03,AM04,29/07/2019 16:50
00-80-8027,Other Stock Costs,ZZZ,1296.49,0.00,2019-7,267,,1296.49,ID03,AM04,29/07/2019 16:50
00-20-2011,Inventory Adjustment,515,0.00,5261.70,2019-7,267,,-5261.70,ID03,AM04,29/07/2019 16:50
00-80-8027,Other Stock Costs,ZZZ,5261.70,0.00,2019-7,267,,5261.70,ID03,AM04,29/07/2019 16:50
00-20-2011,Inventory Adjustment,506,0.00,12205.25,2019-7,267,,-12205.25,ID03,AM04,29/07/2019 16:50
00-80-8027,Other Stock Costs,ZZZ,12205.25,0.00,2019-7,267,,12205.25,ID03,AM04,29/07/2019 16:50
00-20-2011,Inventory Adjustment,497,0.00,17171.22,2019-7,267,,-17171.22,ID03,AM04,29/07/2019 16:50
00-80-8027,Other Stock Costs,ZZZ,17171.22,0.00,2019-7,267,,17171.22,ID03,AM04,29/07/2019 16:50
00-20-2004,Provision for Obselete Inventory,1214,9154.51,0.00,2019-7,268,Reverses Jnl 2019-5 Journal No. 95,9154.51,CH20,TC01,29/07/2019 12:34
00-80-8028,Provisions - Stock Write-downs,XZX,0.00,9154.51,2019-7,268,Reverses Jnl 2019-5 Journal No. 95,-9154.51,CH20,TC01,29/07/2019 12:34
00-80-8043,Tax Control,XXX,19709.20,0.00,2019-7,269,,19709.20,AM04,SP18,30/07/2019 18:42
00-80-8044,Tax Input,XZZX,0.00,19709.20,2019-7,269,,-19709.20,AM04,SP18,30/07/2019 18:42
00-80-8043,Tax Control,XXX,0.00,23315.54,2019-7,269,,-23315.54,AM04,SP18,30/07/2019 18:42
00-80-8045,Tax Output,ZZXXZ,23315.54,0.00,2019-7,269,,23315.54,AM04,SP18,30/07/2019 18:42
00-80-8045,Tax Output,ZZXXZ,41084.16,0.00,2019-7,269,,41084.16,AM04,SP18,30/07/2019 18:42
00-80-8043,Tax Control,XXX,0.00,41084.16,2019-7,269,,-41084.16,AM04,SP18,30/07/2019 18:42
00-80-8044,Tax Input,XZZX,0.00,266585.72,2019-7,269,,-266585.72,AM04,SP18,30/07/2019 18:42
00-80-8043,Tax Control,XXX,266585.72,0.00,2019-7,269,,266585.72,AM04,SP18,30/07/2019 18:42
00-80-8033,Provision for Sales Schemes,ZZX,1443.76,0.00,2019-7,270,Reversed By Jnl 2019-9 Journal No. 121,1443.76,HV09,SD19,30/07/2019 13:26
00-10-1002,Provisions - Trade Sales,XXX,0.00,1443.76,2019-7,270,Reversed By Jnl 2019-9 Journal No. 121,-1443.76,HV09,SD19,30/07/2019 13:26
00-20-2004,Provision for Obselete Inventory,966,0.00,31654.26,2019-7,271,Reverses Jnl 2019-6 Journal No. 207,-31654.26,AH12,TC01,30/07/2019 16:48
00-80-8028,Provisions - Stock Write-downs,XZX,31654.26,0.00,2019-7,271,Reverses Jnl 2019-6 Journal No. 207,31654.26,AH12,TC01,30/07/2019 16:48
00-80-8043,Tax Control,XXX,19151.97,0.00,2019-7,272,,19151.97,DF18,TC01,30/07/2019 09:09
00-80-8044,Tax Input,XZZX,0.00,19151.97,2019-7,272,,-19151.97,DF18,TC01,30/07/2019 09:09
00-80-8043,Tax Control,XXX,0.00,20323.37,2019-7,272,,-20323.37,DF18,TC01,30/07/2019 09:09
00-80-8045,Tax Output,ZZXXZ,20323.37,0.00,2019-7,272,,20323.37,DF18,TC01,30/07/2019 09:09
00-80-8045,Tax Output,ZZXXZ,53824.43,0.00,2019-7,272,,53824.43,DF18,TC01,30/07/2019 09:09
00-80-8043,Tax Control,XXX,0.00,53824.43,2019-7,272,,-53824.43,DF18,TC01,30/07/2019 09:09
00-80-8044,Tax Input,XZZX,0.00,248200.99,2019-7,272,,-248200.99,DF18,TC01,30/07/2019 09:09
00-80-8043,Tax Control,XXX,248200.99,0.00,2019-7,272,,248200.99,DF18,TC01,30/07/2019 09:09
00-20-2004,Provision for Obselete Inventory,966,32417.63,0.00,2019-7,273,Reversed By Jnl 2019-11 Journal No. 324,32417.63,JC39,AM04,30/07/2019 13:37
00-80-8028,Provisions - Stock Write-downs,XZX,0.00,32417.63,2019-7,273,Reversed By Jnl 2019-11 Journal No. 324,-32417.63,JC39,AM04,30/07/2019 13:37
00-80-8033,Provision for Sales Schemes,ZZX,199081.19,0.00,2019-7,274,Reverses Jnl 2019-2 Journal No. 413,199081.19,JC39,AS13,30/07/2019 14:31
00-10-1002,Provisions - Trade Sales,XXX,0.00,199081.19,2019-7,274,Reverses Jnl 2019-2 Journal No. 413,-199081.19,JC39,AS13,30/07/2019 14:31
00-80-8033,Provision for Sales Schemes,ZZX,310832.62,0.00,2019-7,274,Reverses Jnl 2019-2 Journal No. 413,310832.62,JC39,AS13,30/07/2019 14:31
00-10-1001,Trade Sale Recycle Scheme,ZZZ,0.00,310832.62,2019-7,274,Reverses Jnl 2019-2 Journal No. 413,-310832.62,JC39,AS13,30/07/2019 14:31
00-20-2004,Provision for Obselete Inventory,966,31011.84,0.00,2019-7,275,Reversed By Jnl 2019-11 Journal No. 422,31011.84,ID03,AM04,30/07/2019 15:33
00-80-8028,Provisions - Stock Write-downs,XZX,0.00,31011.84,2019-7,275,Reversed By Jnl 2019-11 Journal No. 422,-31011.84,ID03,AM04,30/07/2019 15:33
00-80-8043,Tax Control,XXX,19922.14,0.00,2019-7,276,,19922.14,JC39,SD19,30/07/2019 07:49
00-80-8044,Tax Input,XZZX,0.00,19922.14,2019-7,276,,-19922.14,JC39,SD19,30/07/2019 07:49
00-80-8043,Tax Control,XXX,0.00,19924.63,2019-7,276,,-19924.63,JC39,SD19,30/07/2019 07:49
00-80-8045,Tax Output,ZZXXZ,19924.63,0.00,2019-7,276,,19924.63,JC39,SD19,30/07/2019 07:49
00-80-8045,Tax Output,ZZXXZ,52659.93,0.00,2019-7,276,,52659.93,JC39,SD19,30/07/2019 07:49
00-80-8043,Tax Control,XXX,0.00,52659.93,2019-7,276,,-52659.93,JC39,SD19,30/07/2019 07:49
00-80-8044,Tax Input,XZZX,0.00,246375.15,2019-7,276,,-246375.15,JC39,SD19,30/07/2019 07:49
00-80-8043,Tax Control,XXX,246375.15,0.00,2019-7,276,,246375.15,JC39,SD19,30/07/2019 07:49
00-80-8049,Accruals,XX123XX999,13920.14,0.00,2019-7,277,Reverses Jnl 2019-3 Journal No. 498,13920.14,CH20,TC01,30/07/2019 16:45
00-80-8029,Goods In Transit,ZZZ,0.00,13920.14,2019-7,277,Reverses Jnl 2019-3 Journal No. 498,-13920.14,CH20,TC01,30/07/2019 16:45
00-80-8049,Accruals,XX123XX999,107756.97,0.00,2019-7,277,Reverses Jnl 2019-3 Journal No. 498,107756.97,CH20,TC01,30/07/2019 16:45
00-80-8029,Goods In Transit,ZZZ,0.00,107756.97,2019-7,277,Reverses Jnl 2019-3 Journal No. 498,-107756.97,CH20,TC01,30/07/2019 16:45
00-80-8049,Accruals,XX123XX999,132074.09,0.00,2019-7,277,Reverses Jnl 2019-3 Journal No. 498,132074.09,CH20,TC01,30/07/2019 16:45
00-80-8029,Goods In Transit,ZZZ,0.00,132074.09,2019-7,277,Reverses Jnl 2019-3 Journal No. 498,-132074.09,CH20,TC01,30/07/2019 16:45
00-80-8027,Other Stock Costs,ZZZ,0.00,2941.93,2019-7,278,,-2941.93,HV09,SD19,30/07/2019 10:49
00-20-2011,Inventory Adjustment,624,2941.93,0.00,2019-7,278,,2941.93,HV09,SD19,30/07/2019 10:49
00-80-8027,Other Stock Costs,ZZZ,3028.01,0.00,2019-7,278,,3028.01,HV09,SD19,30/07/2019 10:49
00-20-2011,Inventory Adjustment,622,0.00,3028.01,2019-7,278,,-3028.01,HV09,SD19,30/07/2019 10:49
00-20-2011,Inventory Adjustment,626,6806.21,0.00,2019-7,278,,6806.21,HV09,SD19,30/07/2019 10:49
00-80-8027,Other Stock Costs,ZZZ,0.00,6806.21,2019-7,278,,-6806.21,HV09,SD19,30/07/2019 10:49
00-20-2011,Inventory Adjustment,99,0.00,15407.80,2019-7,279,,-15407.80,ID03,SD19,31/07/2019 12:15
00-20-2007,Supplier Refunds,99,15407.80,0.00,2019-7,279,,15407.80,ID03,SD19,31/07/2019 12:15
00-20-2012,Inventory Adjustment for Tax,337,12035.06,0.00,2019-7,280,,12035.06,DF18,SD19,31/07/2019 15:04
00-80-8027,Other Stock Costs,ZZZ,0.00,12035.06,2019-7,280,,-12035.06,DF18,SD19,31/07/2019 15:04
00-30-3013,CoS Staffing Costs,435,26374.70,0.00,2019-7,280,,26374.70,DF18,SD19,31/07/2019 15:04
00-80-8027,Other Stock Costs,ZZZ,0.00,26374.70,2019-7,280,,-26374.70,DF18,SD19,31/07/2019 15:04
00-80-8034,Forex Pending,302,0.00,13.18,2019-7,281,,-13.18,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,302,13.18,0.00,2019-7,281,,13.18,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,1205,0.00,13.18,2019-7,281,,-13.18,AS13,AM04,31/07/2019 13:26
00-70-7023,Forex - Realised Diff,1221,0.00,13.18,2019-7,281,,-13.18,AS13,AM04,31/07/2019 13:26
00-80-8034,Forex Pending,1205,13.18,0.00,2019-7,281,,13.18,AS13,AM04,31/07/2019 13:26
00-80-8034,Forex Pending,1221,13.18,0.00,2019-7,281,,13.18,AS13,AM04,31/07/2019 13:26
00-80-8034,Forex Pending,853,0.00,5.35,2019-7,281,,-5.35,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,853,5.35,0.00,2019-7,281,,5.35,AS13,AM04,31/07/2019 13:26
00-80-8040,Forex Holding Account,123,41.83,0.00,2019-7,281,,41.83,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,123,0.00,41.83,2019-7,281,,-41.83,AS13,AM04,31/07/2019 13:26
00-80-8039,Forex Holding Account,447,0.00,258.15,2019-7,281,,-258.15,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,447,258.15,0.00,2019-7,281,,258.15,AS13,AM04,31/07/2019 13:26
00-80-8036,Forex Holding Account,1208,0.00,822.01,2019-7,281,,-822.01,AS13,AM04,31/07/2019 13:26
00-70-7023,Forex - Realised Diff,1208,822.01,0.00,2019-7,281,,822.01,AS13,AM04,31/07/2019 13:26
00-80-8037,Forex Holding Account,849,0.00,2546.69,2019-7,281,,-2546.69,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,849,2546.69,0.00,2019-7,281,,2546.69,AS13,AM04,31/07/2019 13:26
00-80-8038,Forex Holding Account,301,0.00,2971.78,2019-7,281,,-2971.78,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,301,2971.78,0.00,2019-7,281,,2971.78,AS13,AM04,31/07/2019 13:26
00-80-8035,Forex Holding Account,1204,0.00,7694.70,2019-7,281,,-7694.70,AS13,AM04,31/07/2019 13:26
00-70-7022,Forex - Realised Diff,1204,7694.70,0.00,2019-7,281,,7694.70,AS13,AM04,31/07/2019 13:26
00-80-8027,Other Stock Costs,ZZZ,0.00,1436.99,2019-7,282,,-1436.99,ID03,TC01,31/07/2019 15:31
00-20-2011,Inventory Adjustment,622,1436.99,0.00,2019-7,282,,1436.99,ID03,TC01,31/07/2019 15:31
00-80-8027,Other Stock Costs,ZZZ,7878.23,0.00,2019-7,282,,7878.23,ID03,TC01,31/07/2019 15:31
00-20-2011,Inventory Adjustment,624,0.00,7878.23,2019-7,282,,-7878.23,ID03,TC01,31/07/2019 15:31
00-20-2011,Inventory Adjustment,626,15314.39,0.00,2019-7,282,,15314.39,ID03,TC01,31/07/2019 15:31
00-80-8027,Other Stock Costs,ZZZ,0.00,15314.39,2019-7,282,,-15314.39,ID03,TC01,31/07/2019 15:31
00-70-7022,Forex - Realised Diff,1205,6.19,0.00,2019-7,283,,6.19,DF18,AM04,31/07/2019 09:58
00-80-8034,Forex Pending,XXXX,0.00,6.19,2019-7,283,,-6.19,DF18,AM04,31/07/2019 09:58
00-70-7023,Forex - Realised Diff,1221,0.00,7.02,2019-7,283,,-7.02,DF18,AM04,31/07/2019 09:58
00-80-8034,Forex Pending,XXXX,7.02,0.00,2019-7,283,,7.02,DF18,AM04,31/07/2019 09:58
00-80-8034,Forex Pending,XXXX,0.00,5.47,2019-7,283,,-5.47,DF18,AM04,31/07/2019 09:58
00-70-7022,Forex - Realised Diff,302,5.47,0.00,2019-7,283,,5.47,DF18,AM04,31/07/2019 09:58
00-80-8040,Forex Holding Account,123,20.66,0.00,2019-7,283,,20.66,DF18,AM04,31/07/2019 09:58
00-70-7022,Forex - Realised Diff,123,0.00,20.66,2019-7,283,,-20.66,DF18,AM04,31/07/2019 09:58
00-80-8039,Forex Holding Account,447,0.00,138.66,2019-7,283,,-138.66,DF18,AM04,31/07/2019 09:58
00-70-7022,Forex - Realised Diff,447,138.66,0.00,2019-7,283,,138.66,DF18,AM04,31/07/2019 09:58
00-80-8037,Forex Holding Account,849,0.00,1390.09,2019-7,283,,-1390.09,DF18,AM04,31/07/2019 09:58
00-70-7022,Forex - Realised Diff,849,1390.09,0.00,2019-7,283,,1390.09,DF18,AM04,31/07/2019 09:58
00-80-8038,Forex Holding Account,301,0.00,1613.24,2019-7,283,,-1613.24,DF18,AM04,31/07/2019 09:58
00-70-7022,Forex - Realised Diff,301,1613.24,0.00,2019-7,283,,1613.24,DF18,AM04,31/07/2019 09:58
00-80-8036,Forex Holding Account,1208,0.00,4143.45,2019-7,283,,-4143.45,DF18,AM04,31/07/2019 09:58
00-70-7023,Forex - Realised Diff,1208,4143.45,0.00,2019-7,283,,4143.45,DF18,AM04,31/07/2019 09:58
00-80-8035,Forex Holding Account,1204,0.00,4166.75,2019-7,283,,-4166.75,DF18,AM04,31/07/2019 09:58
00-70-7022,Forex - Realised Diff,1204,4166.75,0.00,2019-7,283,,4166.75,DF18,AM04,31/07/2019 09:58
00-70-7022,Forex - Realised Diff,1205,8.22,0.00,2019-7,284,,8.22,HV09,TC01,31/07/2019 12:07
00-80-8034,Forex Pending,XXXX,0.00,8.22,2019-7,284,,-8.22,HV09,TC01,31/07/2019 12:07
00-70-7023,Forex - Realised Diff,1221,0.00,7.92,2019-7,284,,-7.92,HV09,TC01,31/07/2019 12:07
00-80-8034,Forex Pending,XXXX,7.92,0.00,2019-7,284,,7.92,HV09,TC01,31/07/2019 12:07
00-80-8034,Forex Pending,XXXX,0.00,0.18,2019-7,284,,-0.18,HV09,TC01,31/07/2019 12:07
00-70-7022,Forex - Realised Diff,302,0.18,0.00,2019-7,284,,0.18,HV09,TC01,31/07/2019 12:07
00-80-8040,Forex Holding Account,123,8.35,0.00,2019-7,284,,8.35,HV09,TC01,31/07/2019 12:07
00-70-7022,Forex - Realised Diff,123,0.00,8.35,2019-7,284,,-8.35,HV09,TC01,31/07/2019 12:07
00-80-8039,Forex Holding Account,447,0.00,133.19,2019-7,284,,-133.19,HV09,TC01,31/07/2019 12:07
00-70-7022,Forex - Realised Diff,447,133.19,0.00,2019-7,284,,133.19,HV09,TC01,31/07/2019 12:07
00-80-8037,Forex Holding Account,849,0.00,1381.64,2019-7,284,,-1381.64,HV09,TC01,31/07/2019 12:07
00-70-7022,Forex - Realised Diff,849,1381.64,0.00,2019-7,284,,1381.64,HV09,TC01,31/07/2019 12:07
00-80-8038,Forex Holding Account,301,0.00,1606.28,2019-7,284,,-1606.28,HV09,TC01,31/07/2019 12:07
00-70-7022,Forex - Realised Diff,301,1606.28,0.00,2019-7,284,,1606.28,HV09,TC01,31/07/2019 12:07
00-80-8036,Forex Holding Account,1208,0.00,4142.86,2019-7,284,,-4142.86,HV09,TC01,31/07/2019 12:07
00-70-7023,Forex - Realised Diff,1208,4142.86,0.00,2019-7,284,,4142.86,HV09,TC01,31/07/2019 12:07
00-80-8035,Forex Holding Account,1204,0.00,4173.89,2019-7,284,,-4173.89,HV09,TC01,31/07/2019 12:07
00-70-7022,Forex - Realised Diff,1204,4173.89,0.00,2019-7,284,,4173.89,HV09,TC01,31/07/2019 12:07
